x,y,z,diam
5.610000228881835938e+01,1.929999923706054688e+01,-4.700000762939453125e+00,5.000000000000000000e-01
6.110000228881835938e+01,2.500000000000000000e+01,-6.700000762939453125e+00,1.500000000000000000e+00
6.430000305175781250e+01,2.929999923706054688e+01,-8.700000762939453125e+00,1.299999952316284180e+00
6.750000000000000000e+01,3.170000076293945312e+01,-1.070000076293945312e+01,1.299999952316284180e+00
6.930000305175781250e+01,3.429999923706054688e+01,-1.200000000000000000e+01,1.700000047683715820e+00
7.210000610351562500e+01,3.770000076293945312e+01,-1.370000076293945312e+01,1.700000047683715820e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.210000610351562500e+01,3.770000076293945312e+01,-1.370000076293945312e+01,1.700000047683715820e+00
7.250000000000000000e+01,3.870000076293945312e+01,-1.250000000000000000e+01,1.000000000000000000e+00
7.510000610351562500e+01,4.370000076293945312e+01,-1.170000076293945312e+01,1.000000000000000000e+00
7.910000610351562500e+01,4.800000000000000000e+01,-1.170000076293945312e+01,5.000000000000000000e-01
8.130000305175781250e+01,5.200000000000000000e+01,-1.129999923706054688e+01,5.000000000000000000e-01
8.330000305175781250e+01,5.650000000000000000e+01,-1.070000076293945312e+01,1.299999952316284180e+00
8.730000305175781250e+01,6.150000000000000000e+01,-9.700000762939453125e+00,5.000000000000000000e-01
9.010000610351562500e+01,6.450000000000000000e+01,-1.029999923706054688e+01,5.000000000000000000e-01
9.230000305175781250e+01,6.900000000000000000e+01,-6.500000000000000000e+00,1.000000000000000000e+00
9.550000000000000000e+01,7.250000000000000000e+01,-3.299999237060546875e+00,5.000000000000000000e-01
9.730000305175781250e+01,7.630000305175781250e+01,-1.500000000000000000e+00,1.299999952316284180e+00
9.950000000000000000e+01,8.050000000000000000e+01,-1.299999237060546875e+00,5.000000000000000000e-01
1.011000061035156250e+02,8.630000305175781250e+01,1.700000762939453125e+00,3.000000119209289551e-01
1.033000030517578125e+02,8.850000000000000000e+01,2.500000000000000000e+00,1.000000000000000000e+00
1.073000030517578125e+02,9.250000000000000000e+01,3.299999237060546875e+00,1.299999952316284180e+00
1.108000030517578125e+02,9.669999694824218750e+01,2.500000000000000000e+00,1.000000000000000000e+00
1.138000030517578125e+02,1.010000000000000000e+02,3.700000762939453125e+00,1.299999952316284180e+00
